what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1362510253952
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1362510255916
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1362510262947
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1362510267560
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1362510267756
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1362510267792
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362510267826
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1362510268011
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362510268418
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1362510268971
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362510329507
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1362510335717
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1362510335835
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1362510336041
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1362510336109
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1362510336152
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1362510336223
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362510379466
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362510430532
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1362510437418
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362510440798
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362510442158
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362510445654
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362510448870
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362510451776
